                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0287,                 2.5401,                 1.5608,                0.60202,                 0.5798,                0.55059,                0.19002,                 2.1971,                 1.8157,                 1.4774,               0.070203,              0.0033108,              0.0033108
                      1,                 1.7555,                 1.6867,                 1.3812,                0.63348,                0.62317,                0.66243,                0.29606,                  1.964,                 1.4594,                 1.3427,                0.03994,               0.006381,               0.006381
                      2,                 1.7464,                 1.6101,                 1.3621,                0.64681,                0.61153,                0.64653,                0.30377,                 1.8809,                  1.529,                 1.2459,              0.0094125,              0.0091873,              0.0091873
                      3,                 1.8038,                 1.7141,                 1.4207,                0.61008,                 0.5576,                0.54869,                0.25275,                 1.8992,                 1.8804,                 1.3671,               0.008812,               0.008812,               0.008812
                      4,                 1.8116,                 1.6911,                 1.4397,                0.71887,                0.55303,                0.63872,                0.31842,                 1.7251,                 1.6317,                  1.247,               0.008812,               0.008812,               0.008812
                      5,                 1.7803,                 1.6667,                 1.4398,                0.79554,                0.66668,                0.74096,                0.36787,                 1.7655,                  1.283,                 1.2584,               0.008416,               0.008416,               0.008416
                      6,                 1.7666,                 1.5579,                 1.4098,                0.69715,                0.53566,                0.60464,                0.29448,                 1.7711,                 1.5227,                 1.2869,                0.00802,                0.00802,                0.00802
                      7,                 1.7107,                 1.4944,                 1.4033,                0.64814,                0.62141,                0.66327,                0.34195,                 1.6965,                 1.3065,                 1.2476,               0.007624,               0.007624,               0.007624
                      8,                 1.6628,                 1.4036,                 1.3508,                0.78909,                0.74067,                0.78845,                0.40829,                 1.5978,                 1.0588,                 1.1817,               0.007228,               0.007228,               0.007228
                      9,                 1.6457,                 1.3942,                 1.3557,                0.81155,                0.71226,                0.77912,                0.44717,                 1.5321,                0.98458,                 1.1583,               0.006832,               0.006832,               0.006832
                     10,                 1.6244,                 1.3295,                 1.3363,                0.78314,                0.72523,                0.78093,                0.43615,                 1.6087,                 1.0432,                 1.1482,               0.006436,               0.006436,               0.006436
                     11,                 1.6006,                 1.2632,                 1.3176,                0.83746,                0.75872,                0.83508,                0.46986,                 1.4364,                0.98624,                 1.1022,                0.00604,                0.00604,                0.00604
                     12,                 1.5656,                 1.2582,                 1.2981,                0.77589,                0.77016,                 0.8013,                0.43522,                 1.5868,                0.96915,                 1.1589,               0.005644,               0.005644,               0.005644
                     13,                 1.5435,                 1.2307,                 1.2993,                0.87678,                0.80241,                0.85724,                0.47638,                 1.5969,                0.94068,                 1.1389,               0.005248,               0.005248,               0.005248
                     14,                 1.5208,                  1.192,                 1.2744,                0.88637,                0.80542,                0.86664,                0.46205,                 1.6095,                  0.917,                 1.1671,               0.004852,               0.004852,               0.004852
                     15,                 1.4468,                 1.0333,                 1.2317,                0.83282,                0.76644,                0.83796,                0.49235,                 1.3619,                0.90053,                 1.0787,               0.004456,               0.004456,               0.004456
                     16,                 1.4061,                0.95109,                 1.2216,                 0.8683,                0.80264,                0.86946,                0.49893,                 1.4932,                0.93394,                 1.1104,                0.00406,                0.00406,                0.00406
                     17,                 1.3905,                0.91481,                 1.2043,                 0.9336,                0.80321,                0.88125,                0.53467,                  1.333,                0.85604,                 1.0429,               0.003664,               0.003664,               0.003664
                     18,                 1.3658,                0.90175,                 1.1831,                0.94287,                0.80582,                0.90074,                0.53462,                 1.3881,                0.83369,                 1.0689,               0.003268,               0.003268,               0.003268
                     19,                 1.3246,                0.84671,                 1.1597,                0.91049,                0.79208,                0.88421,                0.50703,                 1.4544,                0.79739,                 1.0727,               0.002872,               0.002872,               0.002872
                     20,                 1.2984,                0.80914,                 1.1475,                0.88616,                0.83213,                 0.9054,                0.52558,                 1.4154,                0.78733,                 1.0502,               0.002476,               0.002476,               0.002476
                     21,                 1.2765,                0.78426,                 1.1265,                0.90779,                 0.8755,                0.92096,                0.56947,                 1.3158,                0.73251,                 1.0238,                0.00208,                0.00208,                0.00208
                     22,                 1.2201,                0.74566,                  1.109,                0.87655,                 0.8551,                0.91195,                0.57263,                 1.2835,                 0.7373,                 1.0127,               0.001684,               0.001684,               0.001684
                     23,                 1.2108,                0.71666,                 1.0923,                0.89824,                0.89463,                0.91494,                0.55946,                 1.3579,                0.72787,                 1.0349,               0.001288,               0.001288,               0.001288
                     24,                 1.1799,                0.69563,                 1.0803,                0.90703,                0.85105,                 0.9194,                0.58478,                 1.2499,                0.68537,                  1.006,               0.000892,               0.000892,               0.000892
